library,lib_version,torch,cuda,device,spec,batch_size,n_voxels,n_params,precision,ok,error,fwd_ms,fwd_ms_std,fwdbwd_ms,fwdbwd_ms_std,mem_fwd_mb,mem_fwdbwd_mb,mem_fwdbwd_reserved_mb,kvox_s
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,small,1,4690,1467216,bf16,True,,4.654592037200928,0.30551470500276856,9.274367809295654,0.06806819315001705,34.258432,38.872576,58.720256,504.48241480188324
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,small,2,7299,1467216,bf16,True,,4.15283203125,0.038462012737840175,9.451519966125488,0.061733317330198934,36.963328,44.81536,69.206016,770.2955250343939
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,small,4,18984,1467216,bf16,True,,4.455423831939697,0.03215042337559576,10.471935749053955,0.04707324998531901,53.919232,83.508736,96.468992,1810.0016569265806
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,small,8,30392,1467216,bf16,True,,4.658175945281982,0.0204845514162477,11.613696098327637,0.042741731859934795,69.265408,115.404288,140.509184,2614.182694126172
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,small,16,56700,1467216,bf16,True,,5.111807823181152,0.022268113336834018,13.676544189453125,0.044656970993474425,98.509824,185.081856,226.492416,4142.661777980728
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,medium,1,4690,10567200,bf16,True,,8.700928211212158,0.048906610934178744,23.50694465637207,0.27261141029625724,110.461952,125.962752,174.063616,199.09978152425242
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,medium,2,7299,10567200,bf16,True,,8.841216087341309,0.035812688841267246,24.18943977355957,0.06631577132902951,115.689472,141.781504,159.383552,301.6053500792918
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,medium,4,18984,10567200,bf16,True,,9.65990400314331,0.24291740073570284,28.156415939331055,0.0781981334084824,145.695744,245.799936,287.309824,674.3177359362977
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,medium,8,30392,10567200,bf16,True,,10.54310417175293,0.05292997234922606,32.17817687988281,0.2697445097419233,168.656384,332.399104,436.207616,942.2601587735503
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,medium,16,56700,10567200,bf16,True,,12.519936084747314,0.057656314149184575,44.42777633666992,0.26595904364301903,216.819712,541.31968,639.63136,1274.8926205603843
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA A100-SXM4-40GB,large,1,4690,61061952,bf16,True,,15.29036808013916,0.05102264710582361,46.0503044128418,0.09840394497845975,536.508928,579.305472,629.1456,101.80221159803594
